title,country,genre,director,actors
Летят журавли,СССР, военный,Михаил Калатозов,"Татьяна Самойлова, Алексей Баталов"
Ученик чудовища,Япония, аниме,Мамору Хосода,"Сёта Сомэтани, Кодзи Якусё"
Землетрясение,Китай, драма,Фэн Сяоган,"Сюй Фань, Чжан Цзинчу"
Покровские ворота,СССР, мюзикл,Михаил Козаков,"Олег Меньшиков, Леонид Броневой"
Прислуга,США, драма,Тейт Тейлор,"Эмма Стоун, Виола Дэвис"
Шерлок Холмс и доктор Ватсон: Смертельная схватка,СССР, криминал,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
Грань будущего,США, фантастика,Даг Лайман,"Том Круз, Эмили Блант"
Нечто,США, ужасы,Джон Карпентер,"Курт Рассел, Кит Дэвид"
Гарри Поттер и Дары Смерти: Часть I,Великобритания, фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт"
Собачья жизнь,США, фэнтези,Лассе Халльстрём,"Джош Гэд, Деннис Куэйд"
Константин: Повелитель тьмы,США, фэнтези,Фрэнсис Лоуренс,"Киану Ривз, Рэйчел Вайс"
Семьянин,США, фэнтези,Бретт Рэтнер,"Николас Кейдж, Теа Леони"
Запах женщины,США, драма,Мартин Брест,"Аль Пачино, Крис О’Доннелл"
Сталкер,СССР, фантастика,Андрей Тарковский,"Александр Кайдановский, Анатолий Солоницын"
День сурка,США, фэнтези,Харольд Рэмис,"Билл Мюррей, Энди Макдауэлл"
Чего хотят женщины,США, мелодрама,Нэнси Майерс,"Мэл Гибсон, Хелен Хант"
Кот в сапогах 2: Последнее желание,США, мультфильм,Джоэль Кроуфорд,"Антонио Бандерас, Сальма Хайек"
Один дома 2: Затерянный в Нью-Йорке,США, комедия,Крис Коламбус,"Маколей Калкин, Джо Пеши"
Город бога,Бразилия, драма,Фернанду Мейреллиш,"Алешандре Родригис, Леандру Фирмину"
Невидимый гость,Испания, триллер,Ориол Паоло,"Марио Касас, Ана Вахенер"
Шестое чувство,США, детектив,М. Найт Шьямалан,"Брюс Уиллис, Хейли Джоэл Осмент"
Терминал,США, драма,Стивен Спилберг,"Том Хэнкс, Кэтрин Зета-Джонс"
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,СССР, криминал,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
"Знакомьтесь, Джо Блэк",США, мелодрама,Мартин Брест,"Брэд Питт, Энтони Хопкинс"
Мементо,США, триллер,Кристофер Нолан,"Гай Пирс, Кэрри-Энн Мосс"
Сплетение судеб,Франция, драма,Летиция Коломбани,"Мия Мельцер, Саджда Патхан"
Цельнометаллическая оболочка,Великобритания, драма,Стэнли Кубрик,"Мэттью Модайн, Адам Болдуин"
Приходи на меня посмотреть,Россия, мелодрама,Михаил Агранович,"Олег Янковский, Ирина Купченко"
Убить Билла 2,США, боевик,Квентин Тарантино,"Ума Турман, Дэвид Кэрредин"
Навсикая из долины ветров,Япония, аниме,Хаяо Миядзаки,"Суми Симамото, Махито Цудзимура"
Воин,США, драма,Гэвин О’Коннор,"Джоэл Эдгертон, Том Харди"
Человек с бульвара Капуцинов,СССР, вестерн,Алла Сурикова,"Андрей Миронов, Александра Яковлева"
Экипаж,Россия, драма,Николай Лебедев,"Данила Козловский, Владимир Машков"
Ходячий замок,Япония, аниме,Хаяо Миядзаки,"Тиэко Байсё, Такуя Кимура"
